user_nicename	display_name first_name	last_name	nickname	user_url	description	user_avatar	oa_social_login_user_picture	avatar	avatar_url
abram-simon		Simon	abram.simon	https://www.encyclopedia.com/religion/encyclopedias-almanacs-transcripts-and-maps/simon-abram	"Abram Simon (1872–1938), was a rabbi and leader in the Reform movement in the early 20th century. Born in Nashville, Tennessee, he was educated at the University of Cincinnati where he earned his B.A. in 1894, the same year he was ordained by Hebrew Union College. Upon ordination he served as rabbi of B'nai Israel Congregation in Sacramento and then as rabbi of Temple Israel in Omaha, Nebraska (1899–1904). In 1903 he was elected as the first rabbi of Washington Hebrew Congregation in Washington, D.C.. In Washington, Simon became a communal leader. In addition to the Board of Education he was a trustee and later president of the Columbia Hospital for Women and also president of the Public Library of Washington. Rabbi Simon was a member of the Red Cross during World War I, broadcast radio lectures, and was president of both the Board of Education in Washington as well as the Conference of Christians and Jews. He was a founding member of the Reform movement's Committee on Jewish Education.  Simon launched the National Committee on Religion, which boosted synagogue attendance and set up Hebrew schools. In 1917, Simon earned a Ph.D. from George Washington University, writing on the ""The Constructive Character and Function of Religious Progress."" He was president of the Central Conference of American Rabbi from 1923 to 1925, a founder and later president of the Synagogue Council of America. He was an early enthusiast of women's participation in the synagogue. Fay Sonnenreich recalled that in 1920, with his permission, she and another young girl sat in the pulpit, held the Torah and read from it. ""I still remember the shocked expressions on the faces of the congregation,"" she recalled many years later. ""Dr. Simon told us afterwards that the board of trustees was angry with him for permitting girls to participate in what traditionally belonged to the men. But he believed in developing the potential of each individual, and his encouragement made a lasting impact upon our lives."""				
alex-sinclair		Sinclair	alex.sinclair		"Dr. Alex Sinclair is the Director of Programs in Israel Education at JTS. He has published numerous articles on Israel education, as well as the book, <em><a href=""http://www.amazon.com/Loving-Real-Israel-Educational-Liberal/dp/1934730378"">Loving the Real Israel: An Educational Agenda for Liberal Zionism</a></em> (2013) by <a href=""http://benyehudapress.com/"">Ben Yehuda Press</a>."			http://opensiddur.org/wp-content/avatars/alex-sinclair.jpg	
peri-sinclair		Sinclair	peri.sinclair	https://www.schechter.edu/profiles/dr-peri-sinclair/	Peri Sinclair is TALI’s Director of Professional ​Development.  She received her doctorate in Midrash from the Jewish Theological Seminary and her MA in Jewish Education from JTS’s Davidson School of Education​. Peri is a graduate of the T​ALI​ School in Hod Hasharon and a proud alumn​a​ of NOAM (the Masorti Movement’s yo​uth​ movement).  ​She​ ​has ​spent 15 summers ​in senior staff positions at Camp Ramah in the Berkshires.  She is married to Dr. Alex Sinclair and together they are raising three inquisitive kids in Modi’in.				
simeon-singer		Singer	Simeon Singer (translation)		"Simeon Singer (1846–1906) was an English rabbi, preacher, lecturer and public worker. He is best known for his English translation of the Siddur, the Authorized Daily Prayer Book, informally known as the ""Singer's Siddur"". Singer's most famous work was his new edition and English translation of the Authorized Daily Prayer Book (published in 1890). The Siddur was expanded in 1917 under Chief Rabbi Joseph Hertz. In 1915 the Bloch Publishing Company published an American version, The Standard Prayer Book, which was widely used until the introduction of Philip Birnbaum's Ha-Siddur Ha-Shalem in 1949."			http://opensiddur.org/wp-content/avatars/Simeon-Singer.jpg	
david-sinzheim		Sinẓheim	joseph-david.sinzheim	https://en.wikipedia.org/wiki/Joseph_David_Sinzheim	Joseph David Sinẓheim (also, Sintzheim and Zinsheimer, 1745 – November 11, 1812 in Paris) was the chief rabbi of Strasbourg. Sinẓheim was the most learned and prominent member of the Assembly of Notables convened by Napoleon I on May 30, 1806. The task of answering the questions laid before the assembly by the imperial commissioner was entrusted to Sinẓheim, who fulfilled his duties (July 30-August 3, 1806) to the satisfaction of the assembly as well as of the commissioner and even of Napoleon himself. The German sermon which he delivered in the synagogue of Paris in honor of the emperor's birthday, on August 15, also strengthened Napoleon's favorable opinion of the Jews, who received the imperial promise that their rights as French citizens should not be withdrawn. On February 9, 1807, four days after the Assembly of Notables was dissolved, the Grand Sanhedrin was convened; its chairman (<em>nasi</em>), appointed by the minister of the interior, was Sinẓheim, who had probably suggested the assembly, having been frequently consulted by the imperial commissioner. The consistorial constitution, provided by the decree of March 17, 1808, opened a new field of activity for Sinẓheim, who was elected chairman of the Central Consistory of France. He was regarded as the foremost French Talmudist of his time, and was the author of the <em>Yad David</em>. He was son of Rabbi Isaac Sinẓheim of Treves, and brother-in-law of Herz Cerfbeer.				
natan-slifkin		Slifkin	Rabbi Natan Slifkin	http://zootorah.com/donate	Rabbi Dr. Natan Slifkin is the founder and director of The Biblical Museum of Natural History in Beit Shemesh. He is the author of several works on the interface between Judaism and the natural sciences, including the <em>Challenge Of Creation</em> and <em>The Torah Encyclopedia of the Animal Kingdom</em>.				
israel-wolf-slotki		Slotki	israel-wolf.slotki	https://www.jewishvirtuallibrary.org/slotki-israel-wolf	Rabbi Dr. Israel Wolf Slotki (1884–1973), scholar and educator, was born in Jerusalem and immigrated to England in 1906, living first in London and later in Manchester. There he served as principal of the Talmud Torah school (1911–50) and later as director of Jewish education for Manchester (1946–50). He organized the first conference of religious Zionists in England (1918) and was secretary of the Mizrachi Center of the United Kingdom (1926–28). His publications include studies of ancient Hebrew poetry, annotated translations of 16 tractates of the Talmud (Soncino Press), commentaries and introductions to three books of the Bible, books on local Jewish history, and many contributions to scholarly periodicals.				
samuel-francis-smith		Smith	samuel-francis.smith	https://en.wikipedia.org/wiki/Samuel_Francis_Smith	"Samuel Francis Smith (October 21, 1808 – November 16, 1895) was an American Baptist minister, journalist, and author. He is best known for having written the lyrics to ""My Country, 'Tis of Thee"" (sung to the tune of ""God Save The Queen"", which he entitled ""America""."				
jan-christian-smuts		Smuts	jan-christian.smuts	https://en.wikipedia.org/wiki/Jan_Smuts	Field Marshal Jan Christian Smuts, OM, CH, DTD, ED, PC, KC, FRS (24 May 1870 – 11 September 1950) was a South African statesman, military leader and philosopher. In addition to holding various military and cabinet posts, he served as prime minister of the Union of South Africa from 1919 to 1924 and 1939 to 1948.				
leonard-victor-snowman		Snowman	leonard-victor.snowman		Leonard Victor Snowman (1900-1976) was one of Anglo-Jewry's most esteemed physicians and mohelim who contributed a lifetime of service to the community in many educational fields. Snowman followed in the footsteps of his father, Dr Jacob Snowman, in his zeal for communal work. Jacob had had the honour of being mohel to the Royal family and Leonard was accorded a like distinction. He served the Initiation Society as medical officer for some 45 years and trained large numbers of future mohelim in their sacred calling. He was surgeon-mohel to the London Jewish Hospital and Bearsted Memorial Hospital from 1931 to 1970 and also served for many years as honorary medical officer to Jews' College. Allied to medical expertise was a profound love and knowledge of Hebrew literature and Dr Snowman wrote extensively on the subject in the Jewish Chronicle and other journals. He translated and published several Hebrew poets into English, specialising in Bialik and Tchernichovsky. On the occasion of the 75th anniversary of the Hampstead Synagogue, where he was a regular worshipper, he wrote a Hebrew ode. Dr. Snowman was president of the Union of Hebrew and Religion Classes, one of the forerunners of the London Board of Jewish Religious Education, and was for many years chairman of the education committee of the LBJRE.				
beverly-socher-lerner		Socher-Lerner	beverly.socher-lerner	http://beverlylerner.weebly.com/	Beverly Socher-Lerner is the Assistant Director of Congregational Learning at Temple Beth Sholom. She has a soft spot for chocolate chip cookies and beautiful mountains. When she is not at Temple Beth Sholom, she loves to pick vegetables at her CSA, enjoy and protect nature, craft, and especially bake. She is one of the organizers of Minyan Tikvah, an egalitarian, full liturgy community in Center City Philadelphia.				
naomi-socher-lerner		Socher-Lerner	naomi.socher-lerner	http://naomi.socher-lerner.com/	Naomi Socher-Lerner is a librarian and knowledge-seeker. She is a volunteer reader for the Public Domain LibriVox Recordings project and serves on the working group for Heymish Philly. She lives in Philadelphia with her spouse Beverly and enjoys slacklining, quilting, ancient philosophy, woodworking, making music, and reading.				
ruth-h-sohn		Sohn	ruth-h.sohn	http://www.ruthsohn.com	Ruth H Sohn is a rabbi, teacher, spiritual director, and writer. She co-directs the Yedidya Center for Jewish Spiritual Direction and the Morei Derekh Jewish Spiritual Direction Training Program, and she also serves as Director of the Aronoff Rabbinic Mentoring Program and Rabbi of the Lainer Beit Midrash at HUC-JIR in Los Angeles.				
hyman-solomon		Solomon	hyman.solomon		Rabbi Hyman Solomon (1890-1930) from Springfield, Massachusetts, was rabbi of Beth Israel Temple, Vineland New Jersey and served as secretary of the Rabbinical Assembly.				
